InstrumentSymbol,Trades
BRFS3,46906
PETR4,46862
BBAS3,22441
BBDC4,20273
ITSA4,18721
VALE3,17527
ITUB4,16863
ABEV3,14633
RENT3,13262
KROT3,12721
B3SA3,12254
CCRO3,12213
JBSS3,11618
GGBR4,11465
ESTC3,11249
EMBR3,10660
ELET3,10584
CMIG4,10252
ELET6,10056
CSNA3,9945
HYPE3,9546
IGTA3,9372
USIM5,9104
PETR3,8977
MULT3,8474
LAME4,8098
WEGE3,8038
ENBR3,8020
LREN3,7802
CIEL3,7796
KLBN11,7751
BOVA11,7508
CSAN3,7076
RAIL3,6844
BBDC3,6814
RAPT4,6645
ECOR3,6484
SUZB3,6411
VVAR11,6393
GOAU4,6341
MRFG3,6263
MRVE3,6075
BRML3,5850
CVCB3,5696
FLRY3,5648
NATU3,5233
BBSE3,5019
PCAR4,4946
TIMP3,4658
BRSR6,4650
BRKM5,4602
UGPA3,4586
QUAL3,4472
QGEP3,4331
FIBR3,4280
VIVT4,4253
BRAP4,4068
MYPK3,4041
RADL3,3980
MGLU3,3911
GOLL4,3686
AZUL4,3556
DTEX3,3549
BTOW3,3364
EQTL3,3359
TAEE11,3194
SLCE3,3090
CAML3,3069
SANB11,2921
CYRE3,2908
SBSP3,2860
SMLS3,2739
BEEF3,2497
ALSC3,2484
HGTX3,2463
BRDT3,2452
TIET11,2411
SULA11,2342
VULC3,2338
CPLE6,2325
LINX3,2218
EGIE3,2212
SMTO3,2210
CRFB3,2178
ODPV3,2122
LIGT3,2039
BKBR3,2006
WIZS3,1963
STBP3,1962
MDIA3,1958
PSSA3,1895
MEAL3,1863
CMIG3,1802
GRND3,1791
LEVE3,1786
ARZZ3,1753
ABCB4,1726
IRBR3,1668
CSMG3,1618
TUPY3,1555
ENEV3,1517
TRPL4,1501
BIDI4,1425
DIRR3,1423
BBRK3,1403
MOVI3,1373
EZTC3,1369
HBOR3,1369
VIVR3,1360
VLID3,1327
GNDI3,1313
CESP6,1169
SAPR4,1135
ENGI11,1088
HAPV3,995
BPAC11,978
EVEN3,903
MPLU3,871
LAME3,864
SAPR11,844
PARD3,833
GFSA3,811
TOTS3,787
AMAR3,774
CZLT33,768
TCSA3,732
DMMO3,721
POMO4,693
TEND3,666
MILS3,656
ANIM3,635
OIBR3,624
ALUP11,608
CPFE3,607
BRPR3,598
TGMA3,590
MXRF11,531
BRCR11,529
ELPL3,524
TPIS3,524
VISC11,488
SHOW3,473
UNIP6,469
PFRM3,452
ALPA4,449
GBIO33,432
ROMI3,429
CARD3,396
FHER3,385
SEER3,373
BCFF11,362
ALMI11,355
KNCR11,341
BBPO11,339
HGLG11,333
PRIO3,314
KEPL3,299
PTBL3,298
XPML11,286
LPSB3,271
KNRI11,270
CGAS5,259
GUAR3,255
HGRE11,254
PDGR3,251
ITUB3,250
GUAR4,247
TRPN3,243
FESA4,237
USIM3,228
OIBR4,227
OMGE3,227
HGBS11,224
JSRE11,221
AALR3,218
GGRC11,212
AGRO3,203
MAGG3,191
PMAM3,178
ETER3,174
JSLG3,164
JHSF3,162
ITSA3,160
RLOG3,153
POSI3,152
ABCP11,148
MFII11,147
FIGS11,146
GGBR3,145
DAGB33,137
FLMA11,125
KNIP11,120
TRIS3,120
IDNT3,117
LUPA3,109
SLED4,106
LCAM3,102
CTXT11,101
AEFI11,95
IVVB11,93
IRDM11,91
SAPR3,84
HTMX11,82
TBOF11,80
SCPF11,78
VRTA11,76
SAAG11,75
CPTS11B,72
MALL11,72
BCRI11,71
LOGN3,71
TIET4,69
CPLE3,66
RNGO11,66
PIBB11,65
GOAU3,62
IGBR3,62
LIQO3,60
CARE11,58
SPTW11,58
TECN3,57
BRIN3,56
RSID3,56
XPCM11,56
SHUL4,55
XPLG11,54
FIIB11,53
BBFI11B,50
BOBR4,50
FRAS3,49
SHPH11,47
TIET3,47
AGCX11,46
RNEW11,46
SSBR3,46
FFCI11,43
FVBI11,43
CEOC11,42
ATOM3,40
EDGA11,40
VIVT3,40
KLBN4,39
RDNI3,39
BRSR3,38
JRDM11,38
SMAL11,38
AZEV4,37
CNES11,37
FAED11,37
SDIL11,37
BSEV3,36
TESA3,36
TCNO4,35
NSLU11,33
SANB4,33
EURO11,32
BPAN4,31
ALZR11,30
BOVV11,30
RBRR11,30
BPFF11,27
CGRA4,27
KNRE11,27
RNEW4,27
SANB3,27
FIIP11B,24
HFOF11,24
TCNO3,24
VVAR4,24
